time,orgunitid,orgunitname,temp_max,preci,pop,disease_cases
201701,AFMacaringu,AEROPORTO INTERNACIONAL DE MAPUTO,33.8,150.75,,45868.64523738127
201701,AoXUjsZ2Frl,MOGINCUAL,34.4,58.4,,2826.0
201701,B9NS6Ost0ca,GORONGOSA,33.7,406.66,,9942.0
201701,CHgxdSSTQSj,GURO,33.5,353.57,,2354.0
201701,CrP6le61OwN,MACHANGA,32.6,375.98,,2361.0
201701,CrPF2QzRGro,MOCUBELA,34.4,167.01,,4898.0
201701,D5xRuCViKkL,DONDO,33.8,391.08,,8538.0
201701,DGWPCkcrGy7,CAIA,34.0,267.08,,2826.0
201701,DKI9485zLq3,NANGADE,35.5,163.25,,1305.0
201701,EHgcsqGbZiY,VILANKULOS,32.5,268.49,,8919.0
201701,FWTfHWRHAkc,MOATIZE,33.4,332.12,,7896.0
201701,FqF6nbkRUGa,METUGE,35.5,92.13,,1838.0
201701,Fqi4BjHjwKp,MOPEIA,34.2,249.49,,4651.0
201701,FuzITtlbo5U,MONTEPUEZ,36.8,162.88,,5318.0
201701,HMx8Rj0TyNh,CIDADE DE INHAMBANE,30.9,370.93,,4468.0
201701,HdY1UgBpkr0,CHICUALACUALA,34.5,277.74,,893.0
201701,I5SQToWteGw,MORRUMBENE,32.7,277.03,,9892.0
201701,I9KQHKLulPM,CHINDE,34.1,163.58,,1609.0
201701,IwQ2WtLMSaQ,METARICA,33.6,233.99,,2807.0
201701,JKi4pw70tGe,MARARA,32.0,346.08,,1016.0
201701,JRE0m9rYQ0z,CHEMBA,34.2,255.35,,832.0
201701,JsnIB7gts9P,TAMBARA,33.8,317.2,,958.0
201701,JvBt370kVEF,CIDADE DE PEMBA,33.4,71.39,,5244.0
201701,JxSMH0Zn1QG,NACAROA,35.8,101.11,,2561.0
201701,KNsSWhRsVR7,KAMAVOTA,34.3,161.5,,3581.0
201701,LOSE8XWsNBC,GILÉ,35.0,177.45,,9364.0
201701,LXktms8VnCX,VANDUZI,31.5,569.94,,10591.0
201701,MBo9nYYydOR,MANHIÇA,35.6,215.33,,6342.0
201701,N9V6Orx3dlz,MANDLAKAZI,33.5,272.08,,3018.0
201701,NhXZWWc8J7C,MECUFI,34.7,72.0,,1517.0
201701,OVR9XCZgE9Y,ILHA DE MOÇAMBIQUE,33.5,65.78,,1987.0
201701,OW2p5yRZcaW,ERATI,35.9,116.33,,5704.0
201701,Oby3S4v0e1o,CUAMBA,33.2,242.6,,15693.0
201701,Oo8zGki9sf8,MOCUBA,35.7,223.54,,17051.0
201701,PGlN17gyLnW,MECANHELAS,33.2,224.43,,6306.0
201701,PQcP9yDSSUG,KANYAKA,44.47904425497523,202.73,,5.0
201701,PcHKVKKyqTi,CIDADE DE QUELIMANE,33.3,171.85,,8649.0
201701,PchXHKQ4byb,CHIMBONILA,31.2,249.85,,8092.0
201701,QTN8DtvjQ3o,DISTRITO DE LICHINGA,29.8,248.44,,15553.0
201701,QV0CXtYmlU7,CHIBABAVA,33.6,426.37,,9459.0
201701,QVLzcigAIuY,MABALANE,35.2,338.62,,795.0
201701,Qa8pmk1ifbP,MELUCO,36.0,169.66,,2331.0
201701,RNRiTKEiot0,MUECATE,34.2,130.25,,5369.0
201701,Rrkxrc2kYeN,CIDADE DE XAI-XAI,33.9,202.76,,4079.0
201701,S8C4IKdeevh,TSANGANO,29.6,284.38,,12116.0
201701,SV8kpAwshqk,INHARRIME,33.5,323.07,,9801.0
201701,SuN2FHZvWv9,MAÚA,34.0,225.39,,3853.0
201701,Svefewg4YCb,MURRUPULA,33.0,139.29,,8583.0
201701,T3r1kA4ZTxp,MAPAI,34.9,293.63,,1282.0
201701,TDZzluLF31E,INHASSORO,32.3,304.84,,1853.0
201701,TKZVb0gzCI7,QUISSANGA,35.7,119.14,,1544.0
201701,U0VmZ8BAd2F,MUEMBE,33.1,277.03,,5131.0
201701,UP55KLfBtFn,MANICA,30.9,626.99,,17469.0
201701,UgyMlebeOzM,MASSANGENA,32.8,334.71,,2371.0
201701,VOYHufT534f,NACALA-A-VELHA,35.1,65.6,,3688.0
201701,VPhgQloRrsV,CHANGARA,33.2,342.19,,1381.0
201701,Vewyed4kyBJ,LIMPOPO,34.2,225.92,,11695.0
201701,VoBFj8Yj4yk,BILENE,34.9,246.3,,5581.0
201701,Vp36IxsEhbT,NIPEPE,34.1,166.22,,2113.0
201701,W0AtBobmWzB,NACALA-PORTO,32.8,71.9,,6708.0
201701,W1KuMwvUNMC,LAGO,33.9,253.15,,9145.0
201701,WTTiCec41WV,MAGANJA DA COSTA,34.5,152.37,,8167.0
201701,WfNVWNm9XXY,LIUPO,34.2,76.84,,3597.0
201701,Wiotea4srQ6,MOGOVOLAS,34.1,117.93,,6043.0
201701,X4KvaPIIZUF,MUANZA,33.7,358.51,,1873.0
201701,Y4KNz4KZ5eG,MUTARARA,33.8,278.33,,1051.0
201701,Y8p9zapVoED,BOANE,35.6,131.78,,1134.0
201701,YPksBvHAS4X,NLHAMANKULU,34.4,146.11,,1739.0
201701,Yc2KQuRswTC,CHONGOENE,33.7,227.51,,5631.0
201701,YnqyySOO3Kj,NAMACURRA,34.7,164.35,,8471.0
201701,Yo6ERgtMyRm,MECUBURI,34.8,143.25,,6705.0
201701,ZLut7qRbtfT,MACOSSA,31.6,358.51,,2217.0
201701,ZjpSEMx9KIf,KAMAXAKENE,33.8,145.08,,694.0
201701,ZwbZOYrt2fd,SANGA,35.1,258.41,,6925.0
201701,aLI4Nf8bNuF,RAPALE,33.6,128.2,,5287.0
201701,aamE7hzQvfv,BÚZI,34.0,425.4,,3808.0
201701,anVNJXEUtsn,MARRACUENE,35.3,169.41,,2118.0
201701,bu2BpgLCoit,NGAÚMA,31.2,252.69,,5768.0
201701,cgrXfktAfh5,MOSSURIZE,32.4,450.87,,9063.0
201701,ckWXpbBUYkL,CAHORA BASSA,31.7,353.06,,2250.0
201701,cm1lPvgvbVY,DISTRITO DE NAMPULA,34.0,120.6,,35721.0
201701,d3lX7oslnF6,CHOKWÉ,35.3,199.66,,3046.0
201701,dxRTm6DGVxv,CIDADE DE TETE,32.7,295.06,,4647.0
201701,eS0c3nVHY7n,MOCÍMBOA DA PRAIA,35.4,105.8,,5025.0
201701,ee2YqfVdyjy,ILE,33.0,234.3,,9593.0
201701,esQmEJ5d38U,DOA,34.2,291.58,,981.0
201701,f0J4GRXSHOD,LALAUA,34.9,160.81,,3363.0
201701,f3qllOYekSQ,KAMPFUMO,33.9,145.98,,527.0
201701,g5PYAjWzgZ2,MARRUPA,36.8,188.41,,3738.0
201701,gPwDw935I9u,MANDIMBA,32.5,243.86,,9814.0
201701,gekPEVffW2N,CIDADE DA BEIRA,33.6,373.11,,6215.0
201701,gi1GeKbkPQo,ZUMBO,30.8,324.65,,1377.0
201701,gkANFleDbmD,SUSSUNDENGA,33.4,609.72,,12062.0
201701,hIE27YSQUaQ,MASSINGA,32.7,266.6,,10720.0
201701,i1PDvmVHVXV,MUIDUMBE,35.9,167.89,,2151.0
201701,iLxtkZKg1ZT,BALAMA,34.4,163.9,,32614.387886703695
201701,iRcLqwM9Oy8,MACOMIA,35.9,128.27,,3776.0
201701,iTvvIJP7q6x,MOAMBA,35.6,153.43,,530.0
201701,iU6JQIAuFgZ,MABOTE,33.8,449.46,,1054.0
201701,jFycbhuIZEv,MÁGOÈ,32.0,297.96,,853.0
201701,jOSGDZvlYuo,PANDA,33.9,340.52,,3630.0
201701,jd8qAc4OAd4,GOVURO,32.4,350.89,,1955.0
201701,jjHTzBhc3iG,CIDADE DE CHIMOIO,30.4,593.65,,40694.0
201701,kcSJ9IwgTCQ,CHIBUTO,34.4,255.06,,8830.0
201701,lHQMij3Kzqw,MULEVALA,34.7,197.86,,2237.0
201701,lV1G1YhhUy5,MAJUNE,35.2,249.27,,3591.0
201701,lhzSmmW4uDE,KAMUBUKWANA,34.5,160.4,,803.0
201701,lpNHBbDZCHL,IBO,34.6,86.95,,160.0
201701,m1cvxdj4TNO,MAVAGO,36.3,267.28,,3782.0
201701,mOzeA3QUK3j,CHIFUNDE,31.6,351.3,,5518.0
201701,mTy8S1bSZtd,MONAPO,35.2,92.66,,6384.0
201701,md9nSAuoWvM,KATEMBE,34.6,142.32,,205.0
201701,mlrXkSsrkad,MUEDA,37.8,193.32,,1966.0
201701,nKYJGeKyer8,FUNHALOURO,33.9,370.8,,407.0
201701,nP9Vec98hXJ,NAMUNO,35.2,154.16,,2623.0
201701,nXl8H6ntlTM,MAXIXE,32.1,322.26,,9848.0
201701,oNcgVsGv0FE,MORRUMBALA,34.6,329.02,,5568.0
201701,oX47yaehZsF,GURUÉ,32.5,239.4,,14062.0
201701,obGWFlkPCah,NAMARROI,32.7,259.51,,6426.0
201701,ocMs0jcbcsl,MALEMA,33.7,211.1,,5957.0
201701,pCHHjrIRkNH,MEMBA,35.7,70.74,,5709.0
201701,pK2u1vfipYX,CHERINGOMA,33.6,334.13,,1526.0
201701,pXpiLJTOBRb,GUIJÁ,35.0,231.81,,402.0
201701,pq1yA9p9TYK,ANGOCHE,34.0,93.0,,5613.0
201701,qBMKRjSe5CW,HOMOINE,33.6,318.21,,7137.0
201701,qPOznnXiTSV,NICOADALA,35.0,203.47,,6672.0
201701,qjeb0XjH8J7,MILANGE,33.4,318.15,,11349.0
201701,rBpE8u2ok1V,MOMA,35.1,110.46,,8050.0
201701,rKAEsk6vlvx,DERRE,34.7,293.55,,2043.0
201701,rLwB5qtph3g,ALTO MOLÓCUÈ,33.8,225.04,,15853.0
201701,rT0VgQloJeQ,LARDE,34.8,109.76,,1741.0
201701,rVpIjA5IDiX,NHAMATANDA,33.8,405.15,,9791.0
201701,rgCBbpP1UuU,MACANGA,30.6,305.35,,6045.0
201701,rsqRHZcoQis,PALMA,34.7,129.74,,2268.0
201701,sjlxPzMHEE9,ANGÓNIA,28.7,236.44,,21493.0
201701,smg5Alx2KiI,JANGAMO,33.2,337.57,,4626.0
201701,sngvTXUNMhR,CHIGUBO,34.6,440.56,,53138.667529867555
201701,swAjNqZyiHT,NAMAACHA,36.1,149.35,,395.0
201701,sxdqiJT18IA,INHASSUNGE,34.2,173.23,,6001.0
201701,teBArJO4QUJ,MARÍNGUE,33.2,299.48,,1908.0
201701,tio92Vh9nTX,LUGELA,34.4,263.13,,9574.0
201701,tn3dO9gbaU5,GONDOLA,33.2,572.04,,7889.0
201701,tvq43cMwirS,CHIÚRE,35.6,121.94,,7536.0
201701,uLdnSiYhUUf,MARROMEU,33.7,281.56,,3826.0
201701,ucQXInJQGvL,MASSINGIR,35.4,232.55,,415.0
201701,v5i13ih1SIF,MACHAZE,32.8,445.09,,7143.0
201701,vN9ppvcIkKH,RIBAUE,32.5,173.01,,12510.0
201701,vqNt4ZsZWeW,ZAVALA,33.4,340.37,,4552.0
201701,vrvRZ0MZimc,MATOLA,34.6,139.48,,4363.0
201701,vsqhrTdsf2N,MAGUDE,35.4,208.09,,212.0
201701,wD1FI1DIiTe,LUABO,33.7,205.15,,945.0
201701,wY0ScVjjv14,MARÁVIA,31.3,400.93,,3404.0
201701,wqaOrkIRjCx,MOSSURIL,34.9,58.59,,5078.0
201701,wvMptX0sWbu,MOLUMBO,30.8,243.88,,4633.0
201701,wxo5gNEFn6p,PEBANE,34.7,144.51,,5368.0
201701,xKR5JOhFIhh,MACATE,33.4,626.32,,3889.0
