n_units,n_months,start_timeid,end_timeid,start_time,end_time,ends_at_recent,total_obs
163,0,,,,,False,0
162,0,,,,,False,0
161,0,,,,,False,0
160,0,,,,,False,0
159,4,73.0,76.0,202301.0,202304.0,False,636
158,5,73.0,77.0,202301.0,202305.0,False,790
157,5,73.0,77.0,202301.0,202305.0,False,785
156,5,73.0,77.0,202301.0,202305.0,False,780
155,5,73.0,77.0,202301.0,202305.0,False,775
154,5,73.0,77.0,202301.0,202305.0,False,770
153,5,73.0,77.0,202301.0,202305.0,False,765
152,5,73.0,77.0,202301.0,202305.0,False,760
151,5,73.0,77.0,202301.0,202305.0,False,755
150,5,73.0,77.0,202301.0,202305.0,False,750
149,5,73.0,77.0,202301.0,202305.0,False,745
148,5,73.0,77.0,202301.0,202305.0,False,740
147,5,73.0,77.0,202301.0,202305.0,False,735
146,1,84.0,84.0,202312.0,202312.0,False,146
145,1,84.0,84.0,202312.0,202312.0,False,145
144,1,84.0,84.0,202312.0,202312.0,False,144
143,1,84.0,84.0,202312.0,202312.0,False,143
142,1,84.0,84.0,202312.0,202312.0,False,142
141,1,84.0,84.0,202312.0,202312.0,False,141
140,1,84.0,84.0,202312.0,202312.0,False,140
139,1,84.0,84.0,202312.0,202312.0,False,139
138,1,84.0,84.0,202312.0,202312.0,False,138
137,1,84.0,84.0,202312.0,202312.0,False,137
136,12,73.0,84.0,202301.0,202312.0,False,1632
135,21,64.0,84.0,202204.0,202312.0,False,2835
134,21,64.0,84.0,202204.0,202312.0,False,2814
133,21,64.0,84.0,202204.0,202312.0,False,2793
132,21,64.0,84.0,202204.0,202312.0,False,2772
131,21,64.0,84.0,202204.0,202312.0,False,2751
130,21,64.0,84.0,202204.0,202312.0,False,2730
129,21,64.0,84.0,202204.0,202312.0,False,2709
128,21,64.0,84.0,202204.0,202312.0,False,2688
127,21,64.0,84.0,202204.0,202312.0,False,2667
126,21,64.0,84.0,202204.0,202312.0,False,2646
125,21,64.0,84.0,202204.0,202312.0,False,2625
124,21,64.0,84.0,202204.0,202312.0,False,2604
123,21,64.0,84.0,202204.0,202312.0,False,2583
122,21,64.0,84.0,202204.0,202312.0,False,2562
121,21,64.0,84.0,202204.0,202312.0,False,2541
120,21,64.0,84.0,202204.0,202312.0,False,2520
119,21,64.0,84.0,202204.0,202312.0,False,2499
118,21,64.0,84.0,202204.0,202312.0,False,2478
117,21,64.0,84.0,202204.0,202312.0,False,2457
116,21,64.0,84.0,202204.0,202312.0,False,2436
115,21,64.0,84.0,202204.0,202312.0,False,2415
114,21,64.0,84.0,202204.0,202312.0,False,2394
113,21,64.0,84.0,202204.0,202312.0,False,2373
112,21,64.0,84.0,202204.0,202312.0,False,2352
111,21,64.0,84.0,202204.0,202312.0,False,2331
110,21,64.0,84.0,202204.0,202312.0,False,2310
109,21,64.0,84.0,202204.0,202312.0,False,2289
108,21,64.0,84.0,202204.0,202312.0,False,2268
107,21,64.0,84.0,202204.0,202312.0,False,2247
106,21,64.0,84.0,202204.0,202312.0,False,2226
105,21,64.0,84.0,202204.0,202312.0,False,2205
104,21,64.0,84.0,202204.0,202312.0,False,2184
103,21,64.0,84.0,202204.0,202312.0,False,2163
102,21,64.0,84.0,202204.0,202312.0,False,2142
101,21,64.0,84.0,202204.0,202312.0,False,2121
100,21,64.0,84.0,202204.0,202312.0,False,2100
99,21,64.0,84.0,202204.0,202312.0,False,2079
98,21,64.0,84.0,202204.0,202312.0,False,2058
97,21,64.0,84.0,202204.0,202312.0,False,2037
96,21,64.0,84.0,202204.0,202312.0,False,2016
95,21,64.0,84.0,202204.0,202312.0,False,1995
94,21,64.0,84.0,202204.0,202312.0,False,1974
93,21,64.0,84.0,202204.0,202312.0,False,1953
92,21,64.0,84.0,202204.0,202312.0,False,1932
91,21,64.0,84.0,202204.0,202312.0,False,1911
90,21,64.0,84.0,202204.0,202312.0,False,1890
89,21,64.0,84.0,202204.0,202312.0,False,1869
